t,x,y,z,phi,theta,psi,u,v,w,p,q,r,u1,u2,u3,u4,u5,u6
2.500053,-0.1392389,0.2106918,0.04751347,-0.011693705988362009,-0.017627825445142728,0.1806415775814131,-0.005910699,0.009486861,0.07722218,-0.0001270498466355256,9.629896035780762e-05,-0.000151300899886014,80.0,80.0,80.0,80.0,80.0,80.0
2.599879,-0.1377829,0.209772,0.04572133,-0.011693705988362009,-0.017627825445142728,0.1806415775814131,-0.006430862,0.008764425,0.07568992,0.00019121146606441595,-2.922511944562457e-05,-0.0003255916955583178,80.0,80.0,80.0,80.0,80.0,80.0
2.699929,-0.1371531,0.2094551,0.04174681,-0.011693705988362009,-0.017627825445142728,0.1806415775814131,-0.006248233,0.008644058,0.07389154,3.267612406900791e-05,0.0003807285664909958,-0.0002625814698369681,80.0,80.0,80.0,80.0,80.0,80.0
2.799989,-0.1356678,0.2055244,0.03562673,-0.011693705988362009,-0.017453292519943295,0.1806415775814131,-0.006243939,0.005539298,0.07147772,-0.00037271471269753864,0.00015584039655069611,9.335509605517625e-05,80.0,80.0,80.0,80.0,80.0,80.0
2.90021,-0.1345732,0.2014602,0.03037844,-0.011868238913561443,-0.017453292519943295,0.1806415775814131,-0.006065072,0.002811,0.0691168,0.0005439955659017306,-7.40103902248467e-05,0.00023944503620668085,80.0,80.0,80.0,80.0,80.0,80.0
2.999892,-0.134698,0.1975454,0.02677224,-0.011868238913561443,-0.017453292519943295,0.1806415775814131,-0.007655215,0.0004720996,0.06724386,-0.00035048340681733574,-0.0001907993938280201,6.277663085426276e-05,80.0,80.0,80.0,80.0,80.0,80.0
3.100018,-0.1353944,0.1946124,0.02392626,-0.011868238913561443,-0.017453292519943295,0.1806415775814131,-0.008934779,-0.001503503,0.06572174,4.65036696008582e-05,0.0002797703449752343,-0.00042570081439298414,80.0,80.0,80.0,80.0,80.0,80.0
3.199955,-0.1348,0.1899368,0.01805933,-0.011868238913561443,-0.017453292519943295,0.1806415775814131,-0.009362956,-0.003686166,0.06298038,0.000162215298910068,9.340504737836834e-05,-9.64245367974886e-05,80.0,80.0,80.0,80.0,80.0,80.0
3.300089,-0.1348841,0.1863597,0.01267713,-0.011868238913561443,-0.017453292519943295,0.1806415775814131,-0.01021397,-0.005578553,0.06046338,0.00018049462085839517,-0.00011162675600808718,-1.7380224310808554e-05,80.0,80.0,80.0,80.0,80.0,80.0
3.39984,-0.1332723,0.1844778,0.00774919,-0.011868238913561443,-0.017453292519943295,0.1806415775814131,-0.01012645,-0.005531146,0.05877962,-0.00011618293802041837,0.00031555448156302357,0.0004513698953008403,80.0,80.0,80.0,80.0,80.0,80.0
3.500082,-0.1324988,0.1831351,0.002425937,-0.011868238913561443,-0.017453292519943295,0.1806415775814131,-0.009584515,-0.006201791,0.05708154,6.535275428349892e-05,-2.628823646000119e-05,0.0007857756781146547,80.0,80.0,80.0,80.0,80.0,80.0
3.599954,-0.1307892,0.1807847,-0.001861551,-0.011868238913561443,-0.017453292519943295,0.1806415775814131,-0.00906706,-0.006556606,0.05542933,-2.6206188531864937e-05,-0.00015567897104817917,-0.000798820967075761,80.0,80.0,80.0,80.0,80.0,80.0
3.699913,-0.1299349,0.1790136,-0.005323266,-0.011868238913561443,-0.017453292519943295,0.1806415775814131,-0.008889964,-0.007332356,0.05399879,-0.0005796810913867822,-0.0006644475443659421,0.0001639147260027349,80.0,80.0,80.0,80.0,80.0,80.0
3.800037,-0.1278198,0.1779218,-0.008769942,-0.011868238913561443,-0.017453292519943295,0.1806415775814131,-0.00837986,-0.007313479,0.05248014,5.7343036920368966e-05,7.047180497959828e-05,0.0008358675003115178,80.0,80.0,80.0,80.0,80.0,80.0
3.900083,-0.1260498,0.1772097,-0.01173746,-0.011868238913561443,-0.017453292519943295,0.1806415775814131,-0.007860465,-0.00732986,0.05129221,0.0002576469004428045,0.00013060885223302237,0.00030787747631520133,80.0,80.0,80.0,80.0,80.0,80.0
