t,x,y,z,phi,theta,psi,u,v,w,p,q,r,u1,u2,u3,u4,u5,u6,wind_speed,wind_angle
2.50018,-0.2227521,0.7046984,600.3375,2.45,-0.94,74.85,-0.04278664,-0.02678516,-0.09414094,1.144318,1.847391,-0.04156682,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,nan
2.600278,-0.2221981,0.7076606,600.3437,2.39,-0.93,74.85,-0.02470718,-0.02304464,-0.06874269,1.513594,0.4019417,-1.291452,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,nan
2.700234,-0.2212809,0.7102895,600.3494,2.36,-1.02,74.94,-0.03098844,-0.02091771,-0.06163789,0.9076194,0.2911942,0.3480996,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,nan
2.800219,-0.220415,0.7128507,600.3552,2.2,-1.01,74.88,-0.01713747,-0.01236975,-0.08898921,0.7275556,-0.9315808,-1.63808,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,nan
2.900285,-0.2194352,0.7154002,600.36,2.38,-1.07,74.95,-0.009155739,-0.003143054,-0.06661297,-2.156038,-1.336666,0.8465878,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,nan
3.000198,-0.218643,0.7181641,600.3634,2.03,-0.95,75.0,-0.01712465,-0.007423479,-0.09836692,-1.070476,1.256178,-0.9420657,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,nan
3.100204,-0.2181991,0.7196398,600.3645,2.19,-1.07,75.06,-0.01092066,0.005096093,-0.07099123,-1.142948,-1.691968,1.441667,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,nan
3.200184,-0.2180389,0.7198116,600.3632,1.84,-1.19,75.08,-0.01660285,0.005801216,-0.1020488,-2.458054,-1.42539,0.1637937,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,nan
3.300231,-0.2182264,0.7199205,600.3599,2.01,-1.23,75.07,-0.008131344,0.007097256,-0.09435065,-1.129594,0.6147549,1.040382,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,nan
3.400151,-0.2186542,0.7198853,600.3571,2.09,-1.17,75.05,-0.002990597,0.02009348,-0.07004695,0.8359535,1.399101,-0.7389985,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,134.30000000000007,nan
